,origin_x,origin_y,destination_x,destination_y,treq,index,hub,ttrav,tarr,u,ttrav_sh,tarr_sh,u_sh,u_PT_OD,u_PT_HD_ASC,u_SUM_OD,p_SUM,r
104,19.86901159,50.01566906,19.9681795195812,50.045766683411394,2024-03-28 07:49:03,104,1989392511,220,2024-03-28 07:52:43,2.7560000000000002,220.0,2024-03-28 07:52:43,2.719475,18.258111228015334,11.266788596413885,16.567041004543377,0.8443648528294301,1
105,19.85848586,50.00552538,19.96653300867659,50.056903793509896,2024-03-28 07:57:00,105,1989392511,187,2024-03-28 08:00:07,2.339,187.0,2024-03-28 08:00:07,2.339,20.465088771846183,13.487533377154772,18.407310785284263,0.8867311848486608,1
107,19.88333897,50.01292177,19.90664300481499,50.03013095170665,2024-03-28 07:59:21,107,1989392511,63,2024-03-28 08:00:24,0.789,63.0,2024-03-28 08:00:24,0.789,8.385180131512715,4.623892675382553,7.993670083512044,0.5966461596979976,1
109,19.87735784,50.01400512,19.89363941731681,50.0589271287652,2024-03-28 07:47:06,109,1989392511,250,2024-03-28 07:51:16,3.1295,250.0,2024-03-28 07:51:16,3.0594,23.2464009209789,17.186562017528576,22.82673942565807,0.6034022458313262,1
110,19.8692183,50.00597456,19.90664300481499,50.03013095170665,2024-03-28 07:58:06,110,1989392511,187,2024-03-28 08:01:13,2.339,187.0,2024-03-28 08:01:13,2.339,10.574881096430019,4.623892675382553,9.543670083512044,0.737150608577544,1
111,19.85988647,50.00550152,19.965454495667824,50.090546020723934,2024-03-28 08:07:20,111,1989392511,164,2024-03-28 08:10:04,2.0575,164.0,2024-03-28 08:10:04,2.03765,24.108608333288966,15.802294780664251,20.420722188793743,0.9755861087679765,1
113,19.86336029,50.01718349,19.969008628036885,50.01927195725513,2024-03-28 08:02:18,113,1989392511,358,2024-03-28 08:08:16,4.478,358.0,2024-03-28 08:08:16,4.478,27.361755570111608,10.885667324517957,17.944444732647447,0.9999187022436146,1
114,19.87988908,50.0132808,19.9681795195812,50.045766683411394,2024-03-28 08:07:02,114,1989392511,184,2024-03-28 08:10:06,2.3015,184.0,2024-03-28 08:10:06,2.3015,18.405248377127883,11.266788596413885,16.14906600454338,0.9051824813872595,1
118,19.88276254,50.02006049,20.0336637286755,50.05503314735911,2024-03-28 07:48:10,118,1989392511,145,2024-03-28 07:50:35,1.8170000000000002,145.0,2024-03-28 07:50:35,1.7642250000000002,20.75802916660348,17.004686842078797,21.34968925020829,0.3562540447600874,1
122,19.86663297,50.01594352,19.90664300481499,50.03013095170665,2024-03-28 07:45:50,122,1989392511,145,2024-03-28 07:48:15,1.8170000000000002,160.0,2024-03-28 07:48:30,1.8051750000000002,13.546909078875899,4.623892675382553,9.009845083512044,0.9894085890548228,1
123,19.87804477,50.02032512,19.95168309446228,50.090888913541455,2024-03-28 08:14:18,123,1989392511,159,2024-03-28 08:16:57,1.9949999999999999,159.0,2024-03-28 08:16:57,1.9949999999999999,24.931491929704197,17.326398508721265,21.90217591685076,0.9538810923712979,1
124,19.87895938,50.01862678,19.90664300481499,50.03013095170665,2024-03-28 07:48:38,124,1989392511,145,2024-03-28 07:51:03,1.8170000000000002,145.0,2024-03-28 07:51:03,1.8051750000000002,10.50846223676887,4.623892675382553,9.009845083512044,0.817368138926603,1
125,19.87168042,50.00565038,19.9040061349451,50.08511392113392,2024-03-28 08:09:16,125,1989392511,280,2024-03-28 08:13:56,3.503,301.0,2024-03-28 08:14:17,3.4653,25.14847447359151,16.84163201751782,22.887709425647312,0.9055750697309546,1
126,19.85762988,50.00717562,19.98485702298316,50.08796386842873,2024-03-28 07:50:50,126,1989392511,528,2024-03-28 07:59:38,6.6,558.0,2024-03-28 08:00:08,6.542975,23.848537412233433,16.627217631515403,25.750970039644898,0.12983339661476365,1
127,19.87323462,50.02035272,19.90664300481499,50.03013095170665,2024-03-28 07:55:02,127,1989392511,297,2024-03-28 07:59:59,3.7155000000000005,312.0,2024-03-28 08:00:14,3.615,12.02394074551702,4.623892675382553,10.819670083512044,0.7692836391348195,1
135,19.87148578,50.00925624,19.98485702298316,50.08796386842873,2024-03-28 08:01:28,135,1989392511,145,2024-03-28 08:03:53,1.8170000000000002,160.0,2024-03-28 08:04:08,1.786975,25.77245254378245,16.627217631515403,20.994970039644897,0.9916530947690908,1
139,19.87211818,50.01453936,19.90664300481499,50.03013095170665,2024-03-28 08:13:56,139,1989392511,246,2024-03-28 08:18:02,3.0765000000000002,246.0,2024-03-28 08:18:02,3.0327500000000005,11.010662850801406,4.623892675382553,10.237420083512045,0.6842219515960696,1
141,19.8641322,50.02043997,19.96285314488492,50.06240333080091,2024-03-28 07:47:17,141,1989392511,145,2024-03-28 07:49:42,1.8170000000000002,145.0,2024-03-28 07:49:42,1.8170000000000002,18.501360920982933,11.816844956091172,16.214622364220663,0.9077727604531274,1
147,19.87804477,50.02032512,19.96285314488492,50.06240333080091,2024-03-28 08:14:36,147,1989392511,110,2024-03-28 08:16:26,1.3825,110.0,2024-03-28 08:16:26,1.3076000000000003,18.624125306876444,11.816844956091172,15.705222364220663,0.948773005278951,1
148,19.8705617,50.01806228,19.86517482021967,49.99033788575227,2024-03-28 07:58:59,148,1989392511,272,2024-03-28 08:03:31,3.4045,272.0,2024-03-28 08:03:31,3.2746750000000002,13.607811491172525,5.562344429791586,11.417796837921077,0.8993492328587633,1
149,19.88014152,50.01269315,19.93419539069741,50.07058544963221,2024-03-28 08:07:51,149,1989392511,489,2024-03-28 08:16:00,6.1185,504.0,2024-03-28 08:16:15,5.9007000000000005,20.82160219292054,11.5759005701264,20.057377978255893,0.6822701531018474,1
150,19.86939167,50.00719412,19.97746711597041,50.07213061226128,2024-03-28 08:14:36,150,1989392511,327,2024-03-28 08:20:03,4.089,356.0,2024-03-28 08:20:32,4.068675000000001,22.669768903412677,13.550349561337912,20.199801969467405,0.9220093871873989,1
154,19.88666245,50.01851638,19.940892831697568,50.03098883384271,2024-03-28 08:01:58,154,1989392511,284,2024-03-28 08:06:42,3.5515,284.0,2024-03-28 08:06:42,3.5515,10.436427631480447,7.629466535061184,13.761743943190677,0.03471282904843099,1
156,19.87522288,50.01477078,19.929784097900736,50.06302852505976,2024-03-28 08:08:50,156,1989392511,250,2024-03-28 08:13:00,3.1295,250.0,2024-03-28 08:13:00,3.1295,16.97437289469545,10.16476754383085,15.87504495196034,0.750134161128597,1
158,19.87272547,50.01462996,19.951528452088738,50.06393838914402,2024-03-28 07:54:11,158,1989392511,188,2024-03-28 07:57:19,2.356,203.0,2024-03-28 07:57:34,2.3161750000000003,17.02690390345301,10.91849429820358,15.815446706333073,0.770556681726302,1
160,19.87466506,50.02230764,19.896832819715183,50.02338990498389,2024-03-28 07:53:11,160,1989392511,145,2024-03-28 07:55:36,1.8170000000000002,145.0,2024-03-28 07:55:36,1.8097250000000003,12.94357258764691,4.126385438565285,8.516887846694777,0.9881871565379391,1
162,19.88345719,50.01458222,19.947149505549167,50.06925456517236,2024-03-28 08:10:35,162,1989392511,188,2024-03-28 08:13:43,2.356,188.0,2024-03-28 08:13:43,2.329825,16.733594605139185,11.783644824517957,16.69424723264745,0.5098355741897937,1
167,19.86730067,50.01948557,19.896832819715183,50.02338990498389,2024-03-28 07:56:28,167,1989392511,63,2024-03-28 07:57:31,0.789,63.0,2024-03-28 07:57:31,0.7596500000000002,10.810058728024746,4.126385438565285,7.4668128466947765,0.965882965934868,1
168,19.87125966,50.01298144,19.896832819715183,50.02338990498389,2024-03-28 07:45:16,168,1989392511,188,2024-03-28 07:48:24,2.356,203.0,2024-03-28 07:48:39,2.329825,11.197952850812165,4.126385438565285,9.036987846694778,0.8966889786799712,1
169,19.87909432,50.01812013,19.952184584477106,50.02572924887218,2024-03-28 07:53:37,169,1989392511,251,2024-03-28 07:57:48,3.1435000000000004,251.0,2024-03-28 07:57:48,3.06325,18.09429017534491,12.43458978068173,18.078617188811222,0.5039181664280648,1
173,19.86883616,50.0067184,19.90989549802081,50.026607780825934,2024-03-28 08:00:25,173,1989392511,397,2024-03-28 08:07:02,4.9670000000000005,397.0,2024-03-28 08:07:02,4.9670000000000005,8.520581359610063,5.212220087625398,12.759997495754892,0.01421113850818041,1
174,19.87507423,50.00667174,20.009873824321133,50.034131668100216,2024-03-28 07:47:07,174,1989392511,145,2024-03-28 07:49:32,1.8170000000000002,145.0,2024-03-28 07:49:32,1.8170000000000002,22.40971798243781,16.95210403505715,21.349881443186643,0.742659306502027,1
175,19.86937451,50.01576449,19.90664300481499,50.03013095170665,2024-03-28 08:08:23,175,1989392511,306,2024-03-28 08:13:29,3.8309999999999995,306.0,2024-03-28 08:13:29,3.7095000000000007,11.307211403450324,4.623892675382553,10.914170083512044,0.5970146202661615,1
