,origin_x,origin_y,destination_x,destination_y,treq,index,hub,ttrav,tarr,u,ttrav_sh,tarr_sh,u_sh,u_PT_OD,u_PT_HD_ASC,u_SUM_OD,p_SUM,r
275,19.87799115,50.08485944,19.9297841,50.06302853,2024-03-28 07:47:04,275,1786358199,462,2024-03-28 07:54:46,5.7825,462.0,2024-03-28 07:54:46,5.759825000000001,12.119102412170244,6.494970394704858,14.83557280283435,0.06200844323511789,1
280,19.87824691,50.08732636,19.8853047,50.07973973,2024-03-28 08:04:29,280,1786358199,244,2024-03-28 08:08:33,3.053,259.0,2024-03-28 08:08:48,2.9626750000000004,7.94939605256287,3.3602760086970647,8.903728416826556,0.2780143837257531,1
281,19.87599187,50.08911041,19.96491684,50.08134807,2024-03-28 07:47:30,281,1786358199,273,2024-03-28 07:52:03,3.4154999999999998,288.0,2024-03-28 07:52:18,3.3534750000000004,17.190401534944215,10.60851973673391,16.542772144863402,0.656476052483132,1
284,19.88744818,50.09561107,19.98327814,50.06646184,2024-03-28 08:07:30,284,1786358199,396,2024-03-28 08:14:06,4.9515,426.0,2024-03-28 08:14:36,4.940850000000001,21.83369381567703,12.941769517460008,20.4633969255895,0.7974281163940501,1
286,19.872702,50.100578,19.95665902,50.05414864,2024-03-28 07:53:14,286,1786358199,277,2024-03-28 07:57:51,3.4655,277.0,2024-03-28 07:57:51,3.45735,22.51111491219983,11.92944855258438,17.967575960713873,0.9894762270541198,1
290,19.8767039,50.09452386,19.93008448,50.06902403,2024-03-28 08:01:37,290,1786358199,374,2024-03-28 08:07:51,4.681,374.0,2024-03-28 08:07:51,4.492575,14.00138929818207,6.3689882455681115,13.442340653697602,0.6362323864097468,1
292,19.87401906,50.09794999,19.95482044,50.06107864,2024-03-28 08:12:10,292,1786358199,46,2024-03-28 08:12:56,0.575,46.0,2024-03-28 08:12:56,0.55415,20.391024999908574,11.515369736790378,14.650297144919868,0.9967978574149536,1
296,19.88981709,50.09623979,19.99323097,50.04785598,2024-03-28 08:06:10,296,1786358199,316,2024-03-28 08:11:26,3.9560000000000004,341.0,2024-03-28 08:11:51,3.8998000000000004,25.392053070076656,18.659033684150874,25.139611092280365,0.5627774633058044,1
298,19.872702,50.100578,19.9297841,50.06302853,2024-03-28 07:50:25,298,1786358199,377,2024-03-28 07:56:42,4.714,392.0,2024-03-28 07:56:57,4.5902,16.0977742543203,6.494970394704858,13.66594780283435,0.9192222556232678,1
299,19.88015596,50.09223603,19.97619937,50.08740153,2024-03-28 08:11:10,299,1786358199,130,2024-03-28 08:13:20,1.625,130.0,2024-03-28 08:13:20,1.625,18.083865306942325,11.00917780692888,15.214955215058371,0.9462879781268837,1
304,19.872702,50.100578,19.95218458,50.02572925,2024-03-28 07:48:26,304,1786358199,281,2024-03-28 07:53:07,3.5200000000000005,281.0,2024-03-28 07:53:07,3.4101250000000003,22.335803640297172,11.719651535027573,17.710553943157066,0.9902939238683813,1
305,19.87599187,50.08911041,19.89683282,50.0233899,2024-03-28 07:51:48,305,1786358199,355,2024-03-28 07:57:43,4.445,380.0,2024-03-28 07:58:08,4.388825000000001,24.19457307009817,16.31500043857604,23.284602846705532,0.7129940694987594,1
309,19.87785082,50.08857062,19.97619937,50.08740153,2024-03-28 08:11:11,309,1786358199,312,2024-03-28 08:16:23,3.9075,326.0,2024-03-28 08:16:37,3.7607250000000008,19.1001132455345,11.00917780692888,17.35068021505837,0.8518812762707729,1
316,19.88880766,50.09224968,19.93419539,50.07058545,2024-03-28 08:05:25,316,1786358199,160,2024-03-28 08:08:05,2.0045,160.0,2024-03-28 08:08:05,2.0045,13.010522149054736,8.637287631518095,13.222565039647588,0.447187011514023,1
318,19.87772267,50.09501178,19.90092573,50.07244596,2024-03-28 08:09:05,318,1786358199,273,2024-03-28 08:13:38,3.4154999999999998,287.0,2024-03-28 08:13:52,3.3762250000000003,12.01140600871723,6.108941271882486,12.065943680011976,0.4863689606409528,1
323,19.88711816,50.09970797,19.92219084,50.07299845,2024-03-28 07:48:47,323,1786358199,422,2024-03-28 07:55:49,5.2765,460.0,2024-03-28 07:56:27,5.223600000000001,13.380427806985347,5.58387890348528,13.388256311614771,0.4980428838378681,1
325,19.87817272,50.09536637,19.89674981,50.09202391,2024-03-28 07:53:17,325,1786358199,453,2024-03-28 08:00:50,5.6625,467.0,2024-03-28 08:01:04,5.459250000000001,10.011415043764972,7.103828684097097,15.143856092226589,0.0058675046686010035,1
326,19.872702,50.100578,19.92219084,50.07299845,2024-03-28 07:56:29,326,1786358199,316,2024-03-28 08:01:45,3.9560000000000004,346.0,2024-03-28 08:02:15,3.8747750000000005,15.186682763100722,5.58387890348528,12.039431311614774,0.958800284626112,1
327,19.87743591,50.09495179,19.91223598,50.08584032,2024-03-28 08:08:20,327,1786358199,316,2024-03-28 08:13:36,3.9530000000000003,316.0,2024-03-28 08:13:36,3.7813750000000006,13.169806929768729,6.4027057455573555,12.764858153686848,0.5998760739177446,1
333,19.872702,50.100578,19.91846245,50.0623097,2024-03-28 08:05:35,333,1786358199,462,2024-03-28 08:13:17,5.7825,492.0,2024-03-28 08:13:47,5.764375000000001,18.240070833279553,10.04416780699745,17.337081267697876,0.7115634716156486,1
339,19.8733023,50.09022376,19.95211908,50.05600891,2024-03-28 07:45:40,339,1786358199,140,2024-03-28 07:48:00,1.7515,140.0,2024-03-28 07:48:00,1.7515,20.786969561333876,11.074552499942188,15.406829908071678,0.9954139502720439,1
343,19.87227592,50.0984591,19.94190176,50.0681672,2024-03-28 07:54:28,343,1786358199,277,2024-03-28 07:59:05,3.4655,292.0,2024-03-28 07:59:20,3.395925,15.852230087656316,8.044778596447498,14.02148100457699,0.8618509397559702,1
351,19.88660926,50.09636524,19.84656732,50.08497304,2024-03-28 07:45:46,351,1786358199,323,2024-03-28 07:51:09,4.0375,337.0,2024-03-28 07:51:23,3.995450000000001,11.919017543834885,5.849390701707684,12.425618109837178,0.3759907696969053,1
353,19.88766991,50.09102471,20.01145369,50.08336691,2024-03-28 08:03:48,353,1786358199,160,2024-03-28 08:06:28,2.0075000000000003,160.0,2024-03-28 08:06:28,1.9792750000000003,16.635104649026495,10.646972850809476,15.20702525893897,0.8066018860940879,1
356,19.88119115,50.08935881,19.91976951,50.06934156,2024-03-28 07:57:49,356,1786358199,160,2024-03-28 08:00:29,2.0045,160.0,2024-03-28 08:00:29,2.0045,10.873474912237466,5.682756491199412,10.268033899328904,0.646900135405988,1
358,19.87324038,50.08609147,19.94697601,50.05173996,2024-03-28 08:01:13,358,1786358199,462,2024-03-28 08:08:55,5.7825,477.0,2024-03-28 08:09:10,5.557350000000001,16.89969377184216,9.348067631546328,17.48619503967582,0.3574380279777717,1
361,19.8842595,50.10202812,20.01864836,50.01189489,2024-03-28 07:54:00,361,1786358199,137,2024-03-28 07:56:17,1.72,137.0,2024-03-28 07:56:17,1.72,22.85242114028776,16.314919692940705,20.615697101070197,0.9034992098607612,1
364,19.87330866,50.08971806,19.89674981,50.09202391,2024-03-28 07:47:40,364,1786358199,320,2024-03-28 07:53:00,4.006,320.0,2024-03-28 07:53:00,3.7966500000000005,11.685163464804374,7.103828684097097,13.481256092226591,0.14232737273597598,1
366,19.88406829,50.09928488,19.94462331,50.0937594,2024-03-28 07:51:13,366,1786358199,337,2024-03-28 07:56:50,4.220000000000001,351.0,2024-03-28 07:57:04,4.122725000000001,16.04045622800996,8.427564473607648,15.13106688173714,0.7128751878602543,1
367,19.87994762,50.10595874,19.89173641,50.06281117,2024-03-28 07:48:29,367,1786358199,316,2024-03-28 07:53:45,3.9560000000000004,331.0,2024-03-28 07:54:00,3.84065,17.847897368375694,9.004736096474387,15.426163504603878,0.9184696759268942,1
369,19.87486133,50.08958136,19.8853047,50.07973973,2024-03-28 08:02:57,369,1786358199,160,2024-03-28 08:05:37,2.0045,160.0,2024-03-28 08:05:37,2.0045,11.21767640343957,3.3602760086970647,7.945553416826557,0.9634599847168419,1
375,19.872702,50.100578,19.92604984,50.06390841,2024-03-28 07:55:47,375,1786358199,281,2024-03-28 08:00:28,3.5200000000000005,281.0,2024-03-28 08:00:28,3.3145750000000005,16.22932513151675,7.394216535038328,13.289568943167822,0.949777098132225,1
376,19.88601126,50.09676653,19.95218458,50.02572925,2024-03-28 08:07:42,376,1786358199,337,2024-03-28 08:13:19,4.220000000000001,337.0,2024-03-28 08:13:19,4.08405,20.00616622794408,11.719651535027573,18.384478943157067,0.8350276955715684,1
383,19.8706232,50.09877762,19.96285314,50.06240333,2024-03-28 07:45:51,383,1786358199,297,2024-03-28 07:50:48,3.7199999999999998,327.0,2024-03-28 07:51:18,3.6754750000000005,17.604344210450463,10.178844956091172,16.435097364220663,0.7630088526630044,1
387,19.872702,50.100578,19.977505,50.05787688,2024-03-28 07:50:14,387,1786358199,121,2024-03-28 07:52:15,1.514,121.0,2024-03-28 07:52:15,1.514,22.34357372799651,12.740769868381072,16.835547276510564,0.9959622689102556,1
392,19.88615271,50.09701788,19.98327814,50.06646184,2024-03-28 07:56:08,392,1786358199,297,2024-03-28 08:01:05,3.7199999999999998,312.0,2024-03-28 08:01:20,3.607225,20.5244096490265,12.941769517460008,19.129771925589502,0.8013315972466973,1
393,19.88554973,50.09257009,19.84656732,50.08497304,2024-03-28 07:59:50,393,1786358199,198,2024-03-28 08:03:08,2.4825,198.0,2024-03-28 08:03:08,2.4825,11.946348070123712,5.849390701707684,10.912668109837174,0.7376287106270437,1
400,19.872702,50.100578,19.84656732,50.08497304,2024-03-28 07:55:57,400,1786358199,337,2024-03-28 08:01:34,4.220000000000001,352.0,2024-03-28 08:01:49,4.1159,15.073446447316128,5.849390701707684,12.546068109837176,0.9260389941329822,1
404,19.88888897,50.09244634,19.92582822,50.07565328,2024-03-28 07:56:55,404,1786358199,121,2024-03-28 07:58:56,1.5155,121.0,2024-03-28 07:58:56,1.5155,13.681467192921883,8.286708947294617,12.382986355424109,0.7855791994614519,1
405,19.88836775,50.08475731,19.95983851,50.01008606,2024-03-28 07:50:54,405,1786358199,46,2024-03-28 07:51:40,0.575,46.0,2024-03-28 07:51:40,0.575,20.246434298096027,15.55389570169424,18.709673109823733,0.8229934039452773,1
415,19.88279023,50.08531316,19.87670276,49.97967466,2024-03-28 08:00:56,415,1786358199,128,2024-03-28 08:03:04,1.6015,128.0,2024-03-28 08:03:04,1.6015,27.48025346481647,21.01558828946753,25.197865697597024,0.9074078595593706,1
419,19.87813756,50.08544486,20.00775521,50.09150014,2024-03-28 07:56:40,419,1786358199,50,2024-03-28 07:57:30,0.625,50.0,2024-03-28 07:57:30,0.625,16.837998245488787,12.21063846482857,15.416415872958062,0.8055863626504801,1
420,19.8657621,50.09524984,19.91846245,50.0623097,2024-03-28 08:07:13,420,1786358199,163,2024-03-28 08:09:56,2.0404999999999998,163.0,2024-03-28 08:09:56,2.0404999999999998,15.16401732447628,9.624167806997448,14.245445215126939,0.7147510738249742,1
421,19.872702,50.100578,19.85085005,50.06730964,2024-03-28 07:46:56,421,1786358199,251,2024-03-28 07:51:07,3.1420000000000003,251.0,2024-03-28 07:51:07,3.05295,22.336609473647982,11.75494311403254,17.388670522162034,0.9929520036084167,1
